"Estado","Semana_Epidemiologica","Anio","n","fecha","year","epiweek","month","normalized_year"
"GUERRERO",1,2016,30,"2016-01-03",2016,1,1,1
"VERACRUZ",1,2016,74,"2016-01-03",2016,1,1,1
"JALISCO",1,2016,73,"2016-01-03",2016,1,1,1
"NUEVO LEÓN",1,2016,31,"2016-01-03",2016,1,1,1
"MICHOACÁN",1,2016,16,"2016-01-03",2016,1,1,1
"DURANGO",1,2016,0,"2016-01-03",2016,1,1,1
"CHIAPAS",1,2016,35,"2016-01-03",2016,1,1,1
"COAHUILA",1,2016,0,"2016-01-03",2016,1,1,1
"MORELOS",1,2016,10,"2016-01-03",2016,1,1,1
"MÉXICO",1,2016,0,"2016-01-03",2016,1,1,1
"SINALOA",1,2016,40,"2016-01-03",2016,1,1,1
"TAMAULIPAS",1,2016,35,"2016-01-03",2016,1,1,1
"TABASCO",1,2016,68,"2016-01-03",2016,1,1,1
"YUCATÁN",1,2016,5,"2016-01-03",2016,1,1,1
"COLIMA",1,2016,17,"2016-01-03",2016,1,1,1
"NAYARIT",1,2016,32,"2016-01-03",2016,1,1,1
"PUEBLA",1,2016,3,"2016-01-03",2016,1,1,1
"QUINTANA ROO",1,2016,33,"2016-01-03",2016,1,1,1
"OAXACA",1,2016,15,"2016-01-03",2016,1,1,1
"SONORA",1,2016,6,"2016-01-03",2016,1,1,1
"BAJA CALIFORNIA SUR",1,2016,7,"2016-01-03",2016,1,1,1
"SAN LUIS POTOSÍ",1,2016,0,"2016-01-03",2016,1,1,1
"HIDALGO",1,2016,0,"2016-01-03",2016,1,1,1
"CAMPECHE",1,2016,4,"2016-01-03",2016,1,1,1
"ZACATECAS",1,2016,0,"2016-01-03",2016,1,1,1
"GUANAJUATO",1,2016,0,"2016-01-03",2016,1,1,1
"BAJA CALIFORNIA",1,2016,1,"2016-01-03",2016,1,1,1
"CHIHUAHUA",1,2016,0,"2016-01-03",2016,1,1,1
"QUERÉTARO",1,2016,0,"2016-01-03",2016,1,1,1
"AGUASCALIENTES",1,2016,0,"2016-01-03",2016,1,1,1
"CIUDAD DE MÉXICO",1,2016,1,"2016-01-03",2016,1,1,1
"TLAXCALA",1,2016,0,"2016-01-03",2016,1,1,1
"VERACRUZ",2,2016,128,"2016-01-10",2016,2,1,1
"MICHOACÁN",2,2016,36,"2016-01-10",2016,2,1,1
"JALISCO",2,2016,209,"2016-01-10",2016,2,1,1
"MORELOS",2,2016,28,"2016-01-10",2016,2,1,1
"GUERRERO",2,2016,139,"2016-01-10",2016,2,1,1
"CHIAPAS",2,2016,100,"2016-01-10",2016,2,1,1
"TABASCO",2,2016,119,"2016-01-10",2016,2,1,1
"NAYARIT",2,2016,101,"2016-01-10",2016,2,1,1
"NUEVO LEÓN",2,2016,112,"2016-01-10",2016,2,1,1
"YUCATÁN",2,2016,15,"2016-01-10",2016,2,1,1
"DURANGO",2,2016,0,"2016-01-10",2016,2,1,1
"COAHUILA",2,2016,2,"2016-01-10",2016,2,1,1
"MÉXICO",2,2016,0,"2016-01-10",2016,2,1,1
"SINALOA",2,2016,80,"2016-01-10",2016,2,1,1
"TAMAULIPAS",2,2016,55,"2016-01-10",2016,2,1,1
